nr	ANNEX A: controls SECTION	section	ANNEX A: controls TITLE	Appendix A 27001 Control specification	HIGH LEVEL INTERPRETATION 	Decomposed USM statements	CTM	CHM	MIR	INC	OPS	RIM	TECH	SDC	ORG	SERV
704	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		DOC_POLICY_infosec specifies requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations.		CHM	MIR							
705	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		DOC_AGREE is a Document type Agreement.	CTM	CHM	MIR							
706	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		DOC_AGREE_SERVICE is a Document type Agreement type Service Agreement that specifies the service agreed with a ORG_CUSTOMER. 	CTM	CHM	MIR							
707	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		DOC_AGREE_UC is a Document type Agreement type Underpinning contract with an ORG_SUPPLIER.	CTM	CHM	MIR							
708	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		DOC_AGREE_SERVICE specifies requirements regarding the preservation of privacy and protection of PII.	CTM	CHM	MIR							
709	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		DOC_AGREE_UC specifies requirements regarding the preservation of privacy and protection of PII.	CTM	CHM	MIR							
710	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
711	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
712	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		DOC_PROFILE_TASK_privacyrequirements exist, responsible for identifying and meeting the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		CHM	MIR						ORG	
713	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		ORG is a class of MIC.		CHM	MIR						ORG	
714	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
715	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
716	Organisational Controls	Annex A 5.34 	Privacy and Protection of PII	The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_privacyrequirements.		CHM	MIR						ORG	
717	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.	Significant changes are classified as such. The IS Policy is reviewed at planned intervals. The IS Policy is reviewed when significant changes occur. Records in SDCtool demonstrate this.											
718	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ASSET is a class of MIC.		CHM	MIR							
719	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
720	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
721	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ASSET_SW_SDCTOOL_REGCHM is a Register for Changes in the ASSET_SW_SDCTOOL.		CHM	MIR				TECH	SDC		
722	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ASSET_SW_SDCTOOL_REGCHM_RECORD is a Record in the  ASSET_SW_SDCTOOL_REGCHM, containing a field <uses projmgt technique>.		CHM					TECH	SDC		
723	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ASSET_SW_SDCTOOL_REGCHM_RECORD is classified according to impact, including class <significant>.		CHM					TECH	SDC		
724	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		DOC is a class of MIC.		CHM	MIR							
725	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		DOC_ROUTINE is a Document type Routine.		CHM	MIR							
726	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		DOC_ROUTINE_WFL2_signicficant for a ASSET_SW_SDCTOOL_REGCHM_RECORD of class <significant> includes an action for reviewing DOC_POLICY_infosec on the organization’s approach to managing information security and its implementation including people, processes and technologies		CHM	MIR							
727	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		DOC_ROUTINE_WFL5 is a Document type Routine type WFL5 for USM workflow 5, handling service requests.		CHM	MIR		OPS					
728	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		DOC_ROUTINE_WFL5_reviewISmgt specifies how the organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals.		CHM	MIR		OPS					
729	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ASSET_SW_SDCTOOL_REGOPS is a Register for Service requests in the ASSET_SW_SDCTOOL.					OPS		TECH	SDC		
730	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar with planned actions of ASSET_SW_SDCTOOL_REGOPS assigned to Personnel, is part of the SDCTOOL.					OPS		TECH	SDC		
731	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar includes actions for  reviewing the organization’s approach to managing information security and its implementation including people, processes and technologies by an independent ORG at planned intervals.					OPS					
732	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
733	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
734	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		DOC_PROFILE_TASK_reviewinfosec exist, responsible for reviewing independently at planned intervals, or when significant changes occur, the approach to managing information security and its implementation including people, processes and technologies.		CHM	MIR						ORG	
735	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ORG is a class of MIC.		CHM	MIR						ORG	
736	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
737	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
738	Organisational Controls	Annex A 5.35	Independent Review of Information Security	The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_reviewinfosec.		CHM	MIR						ORG	
739	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.	The IS Policy is reviewed at planned intervals. Topic-specific policies include rules and standards and are reviewed at planned intervals. Routines are reviewed regularly. Records in the SDCtool exist  to deminstrate this. 											
740	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		DOC is a class of MIC.		CHM	MIR							
741	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		DOC_POLICY is a Document type Policy, with a field <topic-specific>.		CHM	MIR							
742	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		DOC_POLICY_infosec specifies the policies for information security.		CHM	MIR							
743	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ASSET is a class of MIC.		CHM	MIR							
744	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
745	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
746	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ASSET_SW_SDCTOOL_REGOPS is a Register for Service requests in the ASSET_SW_SDCTOOL.					OPS		TECH	SDC		
747	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar with planned actions of ASSET_SW_SDCTOOL_REGOPS assigned to Personnel, is part of the SDCTOOL.					OPS		TECH	SDC		
748	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar includes actions for  reviewing compliance with the organization’s information security policy.					OPS					
749	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar includes actions for  reviewing compliance with the organization’s topic- specific policies at planned intervals.					OPS					
750	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		DOC_POLICY_rulesandstandards specifies the organization's rules and standards.		CHM	MIR							
751	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar includes actions for  reviewing compliance with the organization’s Routines with rules and standards.					OPS					
752	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
753	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
754	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		DOC_PROFILE_TASK_reviewcomplianceinfosec exist, responsible for regularly reviewing compliance with the organization’s information security policy, topic- specific policies, rules and standards.		CHM	MIR						ORG	
755	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ORG is a class of MIC.		CHM	MIR						ORG	
756	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
757	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
758	Organisational Controls	Annex A 5.36	Compliance With Policies, Rules and Standards for Information Security	Compliance with the organization’s information security policy, topic- specific policies, rules and standards shall be regularly reviewed.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_reviewcomplianceinfosec.		CHM	MIR						ORG	
759	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.	Routines for Assets with info-fields are documented and available to personnel.											
760	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ASSET is a class of MIC.		CHM	MIR							
761	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ASSET has a field <information processing asset>.		CHM	MIR							
762	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		DOC is a class of MIC.		CHM	MIR							
763	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		DOC_ROUTINE is a Document type Routine.		CHM	MIR							
764	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		DOC_ROUTINE_WFL5 is a Document type Routine type WFL5 for USM workflow 5, handling service requests.		CHM	MIR		OPS					
765	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		DOC_ROUTINE_WFL5_assetops is specified for the operational handling instructions of Asset with field <stores information>, <processes information>, <provides access to information>.		CHM	MIR		OPS					
766	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
767	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
768	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ASSET_SW_SDCTOOL_REGOPS is a Register for Service requests in the ASSET_SW_SDCTOOL.					OPS		TECH	SDC		
769	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ASSET_SW_SDCTOOL_REGOPS_RECORD is a record in the ASSET_SW_SDCTOOL_REGOPS, containing a field <uses projmgt technique>, and classified, including class <information security risk>.					OPS		TECH	SDC		
770	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar with planned actions of ASSET_SW_SDCTOOL_REGOPS assigned to Personnel, is part of the SDCTOOL.					OPS		TECH	SDC		
771	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar has planned actions for maintaining all Asset with field <stores information>, <processes information>, <provides access to information> according to DOC_ROUTINE_assetops.					OPS					
772	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		DOC is a class of MIC.		CHM	MIR							
773	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
774	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
775	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		DOC_PROFILE_TASK_docOPSroutines exist, responsible for documenting OPS routines for information processing facilities and making these available to personnel who need them.		CHM	MIR						ORG	
776	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ORG is a class of MIC.		CHM	MIR						ORG	
777	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
778	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
779	Organisational Controls	Annex A 5.37	Documented Operating Procedures	Operating procedures for information processing facilities shall be documented and made available to personnel who need them.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_docOPSroutines.		CHM	MIR						ORG	
780	6 People controls	6 People controls														
781	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.	This refers to onboarding routine that must include background verification check for all candidates.  Background verification is an activity in this onboarding routine. The activity must be carried out in the routine and on a regular base according to organization needs.											
782	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC is a class of MIC.		CHM	MIR							
783	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_ROUTINE is a Document type Routine.		CHM	MIR							
784	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_ROUTINE_WFL2 is a Document type ROUTINE type WFL2 for USM workflow 2, handling changes conform DOC_PROCESS_CHM.		CHM	MIR							
785	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_ROUTINE_WFL2_onboarding specifies the standardized routine for onboarding of ORG_UNIT_PERSONNEL, ORG_SUPPLIER_REP, ORG_PARTNER_REP or any ORG_CUSTOMER_USER who will be working within the ORG, and it includes the assignment of any ASSET required for their PROFILE.		CHM	MIR							
786	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_ROUTINE_WFL2_onboarding includes the assignment of any ASSET required for their PROFILE.		CHM	MIR							
787	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_ROUTINE_WFL2_onboarding includes the activity <background verification check> prior to joining the ORG.		CHM	MIR							
788	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ASSET is a class of MIC.		CHM	MIR							
789	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
790	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
791	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ASSET_SW_SDCTOOL_REGOPS is a Register for Service requests in the ASSET_SW_SDCTOOL.					OPS		TECH	SDC		
792	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ASSET_SW_SDCTOOL_REGOPS_RECORD is a record in the ASSET_SW_SDCTOOL_REGOPS, containing a field <uses projmgt technique>, and classified, including class <information security risk>.					OPS		TECH	SDC		
793	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar with planned actions of ASSET_SW_SDCTOOL_REGOPS assigned to Personnel, is part of the SDCTOOL.					OPS		TECH	SDC		
794	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_POLICY is a Document type Policy, with a field <topic-specific>.		CHM	MIR							
795	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		DOC_POLICY_backgroundver specifies when/how the activity <background verification> is done for ORG_UNIT_PERSONNEL, taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		CHM	MIR							
796	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar has planned actions for <background verification check> according to the DOC_POLICY_backgrver.					OPS					
797	People Controls	Annex A 6.1	Screening	Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.		ASSET_SW_SDCTOOL_REGCHM_RECORD exist for Background verification checks in DOC_ROUTINE_WFL2_onboarding. 		CHM					TECH	SDC		
